"","income",".class",".value",".type","Model"
"1",0,"Loan approved",0.429339591455857,"pdp","Linear SVM"
"2",0,"Loan denied",0.570660408544143,"pdp","Linear SVM"
"3",0.522327427311739,"Loan approved",0.456413992066432,"pdp","Linear SVM"
"4",0.522327427311739,"Loan denied",0.543586007933568,"pdp","Linear SVM"
"5",1.04465485462348,"Loan approved",0.48845714831788,"pdp","Linear SVM"
"6",1.04465485462348,"Loan denied",0.51154285168212,"pdp","Linear SVM"
"7",1.56698228193522,"Loan approved",0.524059886097732,"pdp","Linear SVM"
"8",1.56698228193522,"Loan denied",0.475940113902268,"pdp","Linear SVM"
"9",2.08930970924695,"Loan approved",0.561374517743364,"pdp","Linear SVM"
"10",2.08930970924695,"Loan denied",0.438625482256637,"pdp","Linear SVM"
"11",2.61163713655869,"Loan approved",0.598433852712892,"pdp","Linear SVM"
"12",2.61163713655869,"Loan denied",0.401566147287108,"pdp","Linear SVM"
"13",3.13396456387043,"Loan approved",0.633508338050679,"pdp","Linear SVM"
"14",3.13396456387043,"Loan denied",0.366491661949323,"pdp","Linear SVM"
"15",3.65629199118217,"Loan approved",0.665341230163384,"pdp","Linear SVM"
"16",3.65629199118217,"Loan denied",0.334658769836618,"pdp","Linear SVM"
"17",4.17861941849391,"Loan approved",0.693197034919643,"pdp","Linear SVM"
"18",4.17861941849391,"Loan denied",0.306802965080356,"pdp","Linear SVM"
"19",4.70094684580565,"Loan approved",0.71677483764345,"pdp","Linear SVM"
"20",4.70094684580565,"Loan denied",0.283225162356548,"pdp","Linear SVM"
"21",5.22327427311739,"Loan approved",0.736074944226197,"pdp","Linear SVM"
"22",5.22327427311739,"Loan denied",0.263925055773803,"pdp","Linear SVM"
"23",5.74560170042913,"Loan approved",0.751273967590589,"pdp","Linear SVM"
"24",5.74560170042913,"Loan denied",0.248726032409409,"pdp","Linear SVM"
"25",6.26792912774086,"Loan approved",0.762623725326618,"pdp","Linear SVM"
"26",6.26792912774086,"Loan denied",0.237376274673381,"pdp","Linear SVM"
"27",6.7902565550526,"Loan approved",0.770374439608042,"pdp","Linear SVM"
"28",6.7902565550526,"Loan denied",0.22962556039196,"pdp","Linear SVM"
"29",7.31258398236434,"Loan approved",0.774723601954204,"pdp","Linear SVM"
"30",7.31258398236434,"Loan denied",0.225276398045796,"pdp","Linear SVM"
"31",7.83491140967608,"Loan approved",0.775792969482946,"pdp","Linear SVM"
"32",7.83491140967608,"Loan denied",0.224207030517055,"pdp","Linear SVM"
"33",8.35723883698782,"Loan approved",0.773633390602117,"pdp","Linear SVM"
"34",8.35723883698782,"Loan denied",0.226366609397883,"pdp","Linear SVM"
"35",8.87956626429956,"Loan approved",0.768253232380827,"pdp","Linear SVM"
"36",8.87956626429956,"Loan denied",0.231746767619176,"pdp","Linear SVM"
"37",9.4018936916113,"Loan approved",0.759663204522671,"pdp","Linear SVM"
"38",9.4018936916113,"Loan denied",0.240336795477329,"pdp","Linear SVM"
"39",9.92422111892303,"Loan approved",0.747928765905969,"pdp","Linear SVM"
"40",9.92422111892303,"Loan denied",0.25207123409403,"pdp","Linear SVM"
