"","loan_amount",".class",".value",".type"
"1",1.6094379124341,"Loan approved",0.461983700929759,"pdp"
"2",1.6094379124341,"Loan denied",0.538016299070241,"pdp"
"3",2.03895390827382,"Loan approved",0.461983700929758,"pdp"
"4",2.03895390827382,"Loan denied",0.538016299070242,"pdp"
"5",2.46846990411354,"Loan approved",0.454338694632745,"pdp"
"6",2.46846990411354,"Loan denied",0.545661305367256,"pdp"
"7",2.89798589995326,"Loan approved",0.454338694632745,"pdp"
"8",2.89798589995326,"Loan denied",0.545661305367255,"pdp"
"9",3.32750189579298,"Loan approved",0.479583302220789,"pdp"
"10",3.32750189579298,"Loan denied",0.520416697779211,"pdp"
"11",3.7570178916327,"Loan approved",0.518364499879872,"pdp"
"12",3.7570178916327,"Loan denied",0.481635500120127,"pdp"
"13",4.18653388747242,"Loan approved",0.565799760801584,"pdp"
"14",4.18653388747242,"Loan denied",0.434200239198416,"pdp"
"15",4.61604988331213,"Loan approved",0.640733511245727,"pdp"
"16",4.61604988331213,"Loan denied",0.359266488754273,"pdp"
"17",5.04556587915185,"Loan approved",0.685820458334309,"pdp"
"18",5.04556587915185,"Loan denied",0.31417954166569,"pdp"
"19",5.47508187499157,"Loan approved",0.731170513264025,"pdp"
"20",5.47508187499157,"Loan denied",0.268829486735974,"pdp"
"21",5.90459787083129,"Loan approved",0.725149423256003,"pdp"
"22",5.90459787083129,"Loan denied",0.274850576743998,"pdp"
"23",6.33411386667101,"Loan approved",0.7305502270111,"pdp"
"24",6.33411386667101,"Loan denied",0.269449772988901,"pdp"
"25",6.76362986251073,"Loan approved",0.707720078402826,"pdp"
"26",6.76362986251073,"Loan denied",0.292279921597174,"pdp"
"27",7.19314585835045,"Loan approved",0.66911761932176,"pdp"
"28",7.19314585835045,"Loan denied",0.330882380678242,"pdp"
"29",7.62266185419017,"Loan approved",0.653513049506295,"pdp"
"30",7.62266185419017,"Loan denied",0.346486950493706,"pdp"
"31",8.05217785002989,"Loan approved",0.642978098187398,"pdp"
"32",8.05217785002989,"Loan denied",0.357021901812602,"pdp"
"33",8.48169384586961,"Loan approved",0.638727167971331,"pdp"
"34",8.48169384586961,"Loan denied",0.361272832028669,"pdp"
"35",8.91120984170933,"Loan approved",0.63275747081613,"pdp"
"36",8.91120984170933,"Loan denied",0.367242529183871,"pdp"
"37",9.34072583754905,"Loan approved",0.632785256915704,"pdp"
"38",9.34072583754905,"Loan denied",0.367214743084297,"pdp"
"39",9.77024183338877,"Loan approved",0.632453838698803,"pdp"
"40",9.77024183338877,"Loan denied",0.367546161301198,"pdp"
